pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,967.8143422899425
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,957.021147908825
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,947.9610935531732
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,935.2329100087727
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,926.4336060193452
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,944.8220616876806
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,960.5755902652857
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,960.3267170013496
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,949.4865222946021
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,940.38169723026
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,927.610985842482
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,918.7714094596627
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,937.1218601018413
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,952.8396622668226
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,952.5573517758171
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,941.6860189221675
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,932.5523640053691
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,919.7551395907981
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,910.8913748524794
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,929.2199689681772
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,944.9182529033933
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,944.6187682550963
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,933.7326103987384
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,924.5864840207719
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,911.7791453770787
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,902.9076266346474
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,921.2308292657763
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,936.9260858313942
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,936.6259388243175
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,925.7414838160005
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,916.5994249889957
