feature,type,source
pickup_lat,numeric,raw
pickup_lon,numeric,raw
delivery_lat,numeric,raw
delivery_lon,numeric,raw
distance,numeric,raw
weight,numeric,raw
market_index,numeric,raw
quote_signal,numeric,raw
weight_was_negative,numeric,engineered
distance_log1p,numeric,engineered
latitude_difference,numeric,engineered
longitude_difference,numeric,engineered
haversine_distance,numeric,engineered
distance_x_market_index,numeric,engineered
day_of_year_sin,numeric,engineered
day_of_year_cos,numeric,engineered
pickup,categorical,raw
delivery,categorical,raw
equipment,categorical,raw
day_of_week,categorical,engineered
