load_id,date,pickup,delivery,equipment,distance,posted_rate,predicted_rate,signed_error,absolute_error
TR-040097,2025-09-11,Baltimore,Oklahoma City,Reefer,1760.3,20132.37,3739.013183918166,-16393.356816081832,16393.356816081832
TR-040172,2025-09-11,Montgomery,Fresno,Dry Van,2283.4,20361.89,4379.3984589781485,-15982.491541021851,15982.491541021851
TR-046214,2025-10-20,Columbia,Tucson,Flatbed,2023.4,17893.17,3969.691905963953,-13923.478094036045,13923.478094036045
TR-043540,2025-10-03,Milwaukee,Bakersfield,Dry Van,1893.0,17514.11,3604.8773900327715,-13909.232609967228,13909.232609967228
TR-047299,2025-10-27,Boston,Bakersfield,Reefer,2979.1,19110.3,5670.144923928898,-13440.155076071102,13440.155076071102
TR-040323,2025-09-12,Montgomery,El Paso,Dry Van,1639.9,14949.25,3228.3537487846784,-11720.896251215321,11720.896251215321
TR-046517,2025-10-22,Toledo,Albuquerque,Reefer,1684.3,14784.38,3459.910778308155,-11324.469221691845,11324.469221691845
TR-042882,2025-09-29,San Antonio,Detroit,Dry Van,1460.5,13503.63,2790.1922499283564,-10713.437750071644,10713.437750071644
TR-042150,2025-09-24,Grand Rapids,Lubbock,Dry Van,1415.5,13026.22,2824.2817585125817,-10201.938241487418,10201.938241487418
TR-046367,2025-10-21,Bakersfield,Columbia,Dry Van,2251.9,14403.14,4263.297859924358,-10139.842140075642,10139.842140075642
TR-047537,2025-10-29,Los Angeles,Richmond,Dry Van,2782.4,15003.55,5102.722823074995,-9900.827176925004,9900.827176925004
TR-044268,2025-10-08,Albany,Albuquerque,Dry Van,2492.6,14425.42,4605.705578657534,-9819.714421342465,9819.714421342465
TR-043303,2025-10-01,Atlanta,Phoenix,Reefer,2083.1,13894.55,4293.241713369812,-9601.308286630188,9601.308286630188
TR-043385,2025-10-02,Lexington,Lubbock,Dry Van,1187.0,11696.44,2378.0805599463038,-9318.359440053697,9318.359440053697
TR-042736,2025-09-28,Jacksonville,Tucson,Dry Van,1943.0,12797.54,3491.049337728553,-9306.490662271448,9306.490662271448
TR-039363,2025-09-06,Tulsa,Bakersfield,Dry Van,1477.7,11684.7,2835.6325735548658,-8849.067426445135,8849.067426445135
TR-047587,2025-10-29,Corpus Christi,Las Vegas,Flatbed,1383.3,11596.28,2850.6794215416626,-8745.600578458338,8745.600578458338
TR-044345,2025-10-08,Lexington,Albany,Dry Van,1040.0,10566.25,2068.9197638631563,-8497.330236136844,8497.330236136844
TR-040159,2025-09-11,San Francisco,Shreveport,Dry Van,1950.8,12240.81,3859.4016051432254,-8381.408394856775,8381.408394856775
TR-043887,2025-10-05,Shreveport,Baltimore,Reefer,1348.4,11052.72,2945.554364074036,-8107.165635925963,8107.165635925963
